skill_overlap,years_experience,salary_offered,distance_km,seniority,contract_type,remote,match
0.223,2.2,31031,19.1,junior,freelance,no,1
0.415,3.8,44786,19.0,mid,full_time,no,0
0.287,4.1,42436,72.2,mid,full_time,yes,1
0.633,7.7,69195,47.9,senior,full_time,no,1
0.44,6.0,67342,205.8,senior,full_time,yes,1
0.057,0.6,23777,8.2,junior,part_time,no,0
0.35,1.8,31638,78.0,junior,full_time,no,1
0.21,5.5,37454,29.7,mid,full_time,no,0
0.722,3.1,23610,32.2,mid,internship,no,0
0.278,5.8,46019,37.2,mid,full_time,no,1
0.609,4.7,29622,177.8,mid,part_time,yes,0
0.427,5.1,40082,10.9,mid,full_time,no,0
0.582,0.0,20067,30.3,junior,internship,yes,1
0.466,0.0,34188,13.5,junior,full_time,yes,1
0.408,2.1,15675,60.8,junior,full_time,no,0
0.518,1.1,32195,58.8,junior,full_time,no,1
0.259,0.6,24063,58.5,junior,freelance,no,0
0.213,3.6,43039,12.5,mid,full_time,yes,0
0.199,1.4,12000,127.0,junior,internship,yes,0
0.084,1.1,19714,154.7,junior,part_time,yes,0
0.34,3.3,42367,13.9,mid,full_time,no,1
0.488,1.5,43858,14.9,mid,full_time,no,1
0.631,0.5,33003,41.3,junior,full_time,no,0
0.777,7.0,31042,25.3,senior,internship,no,1
0.625,8.2,69047,32.9,senior,full_time,no,0
0.392,6.7,31473,45.4,mid,part_time,yes,1
0.713,5.9,47402,27.6,mid,freelance,no,1
0.101,0.0,33952,107.4,junior,full_time,no,0
0.364,8.3,67949,59.2,senior,full_time,no,0
0.166,0.0,22112,18.4,junior,full_time,no,0
0.379,7.5,66676,110.9,senior,full_time,yes,1
0.595,5.5,40643,142.0,mid,full_time,yes,1
0.174,2.2,26479,33.8,junior,full_time,no,1
0.205,1.1,27540,16.1,junior,full_time,no,1
0.128,5.0,49921,26.4,mid,freelance,no,1
0.354,1.0,27106,30.0,mid,part_time,no,1
0.266,2.5,28064,83.6,junior,full_time,yes,0
0.53,3.4,30119,22.5,mid,part_time,no,0
0.309,9.0,37095,39.2,senior,internship,no,0
0.787,4.1,43075,223.8,mid,full_time,yes,1
0.516,2.9,45282,52.8,mid,full_time,no,0
0.776,1.1,28905,29.9,junior,full_time,no,1
0.671,2.0,45371,56.3,mid,full_time,yes,1
0.204,1.9,29655,107.4,junior,full_time,yes,0
0.789,15.1,60977,15.4,senior,full_time,no,1
0.11,1.4,26689,33.5,junior,full_time,no,0
0.3,3.0,20759,36.1,mid,internship,no,0
0.235,1.5,18518,1.8,junior,internship,yes,0
0.478,1.6,31820,189.1,junior,full_time,yes,0
0.551,4.6,41713,312.0,mid,full_time,no,0
0.219,4.6,24301,74.5,mid,internship,yes,1
0.234,5.9,37732,81.1,mid,full_time,yes,0
0.662,4.7,63636,53.7,senior,full_time,no,1
0.674,11.8,58193,109.6,senior,full_time,yes,1
0.869,9.0,51582,7.4,senior,part_time,no,1
0.267,1.1,35801,38.2,junior,full_time,no,1
0.393,7.6,40134,75.6,mid,full_time,no,0
0.38,7.9,65801,50.9,senior,full_time,no,1
0.159,0.3,30300,134.8,junior,full_time,yes,1
0.347,2.3,12000,40.0,junior,internship,no,0
0.276,4.0,35290,19.9,senior,internship,no,1
0.248,5.5,34082,62.2,mid,part_time,yes,0
0.45,4.2,42591,51.3,mid,full_time,no,0
0.245,10.9,67159,127.2,senior,full_time,yes,1
0.414,7.2,42223,53.1,mid,full_time,yes,1
0.463,2.1,39144,26.9,mid,full_time,no,1
0.866,3.1,23366,156.1,junior,part_time,no,1
0.283,3.2,35001,159.6,junior,full_time,yes,0
0.076,0.9,12000,113.6,junior,internship,yes,0
0.534,1.4,24909,26.7,mid,part_time,yes,1
0.291,5.4,60749,68.9,senior,full_time,no,0
0.561,0.8,26456,83.9,junior,full_time,no,0
0.653,0.9,27922,25.7,junior,full_time,yes,1
0.287,11.1,65445,212.6,senior,full_time,no,0
0.294,1.3,28254,44.6,junior,full_time,no,0
0.746,3.2,47815,12.8,mid,freelance,no,1
0.325,5.7,46453,17.1,mid,full_time,no,1
0.505,4.8,38760,34.6,mid,full_time,no,1
0.392,1.4,18575,62.7,junior,internship,no,0
0.0,2.8,48948,39.8,mid,full_time,no,1
0.472,0.5,23693,133.2,junior,full_time,yes,0
0.452,3.4,36436,9.5,mid,full_time,yes,1
0.498,0.0,29490,53.5,junior,full_time,yes,1
0.33,2.6,33764,50.4,mid,part_time,no,0
0.382,2.6,43387,119.4,mid,full_time,yes,1
0.757,1.5,20560,78.5,junior,full_time,no,1
0.0,0.0,15726,40.0,junior,part_time,yes,0
0.711,1.4,19222,53.3,junior,part_time,no,1
0.196,0.6,23085,74.5,junior,part_time,yes,0
0.267,2.3,19759,27.9,junior,part_time,no,0
0.592,13.4,36497,118.6,senior,internship,no,1
0.631,2.5,28648,61.9,junior,full_time,no,1
0.379,5.8,78009,66.3,senior,freelance,no,0
0.215,11.9,60937,48.7,senior,full_time,no,0
0.735,2.6,28309,100.5,junior,full_time,no,1
0.58,6.8,53336,118.0,mid,freelance,no,1
0.574,9.1,62235,61.3,senior,full_time,no,0
0.241,4.3,39806,86.6,mid,full_time,no,1
0.169,7.2,42302,33.7,mid,full_time,no,0
0.669,3.2,38300,82.6,mid,full_time,no,1
0.145,1.2,23925,72.6,junior,full_time,no,0
0.619,5.2,40785,14.1,mid,full_time,no,1
0.398,3.8,73896,68.3,senior,freelance,no,1
0.415,6.0,69580,38.5,senior,full_time,yes,1
0.23,0.4,25702,24.8,junior,full_time,yes,1
0.495,4.8,31607,12.3,mid,part_time,no,0
0.237,0.7,25320,57.6,junior,part_time,no,0
0.48,9.4,69112,76.6,senior,full_time,no,1
0.381,1.8,15014,9.9,junior,internship,no,0
0.786,10.0,65661,16.4,senior,full_time,no,0
0.545,5.0,47044,151.6,senior,part_time,yes,0
0.106,0.0,29011,72.0,junior,full_time,no,0
0.679,2.9,34196,30.3,junior,full_time,yes,1
0.667,9.1,69548,43.2,senior,full_time,no,0
0.73,1.2,27922,19.3,junior,full_time,no,1
0.24,5.8,44471,35.5,mid,full_time,yes,1
0.226,11.1,46176,33.3,senior,part_time,no,0
0.294,4.9,28246,52.0,mid,part_time,no,0
0.468,2.0,27565,50.7,junior,full_time,yes,0
0.163,6.0,42948,31.1,mid,full_time,no,1
0.191,0.0,30527,156.6,junior,full_time,no,0
0.589,11.5,64723,97.2,senior,full_time,no,1
0.0,0.6,30381,52.8,junior,full_time,yes,0
0.308,0.0,19909,57.6,junior,full_time,yes,0
0.498,2.5,28597,14.4,junior,full_time,no,1
0.53,8.0,64779,145.9,senior,full_time,yes,1
0.203,1.3,24462,77.8,junior,full_time,yes,0
0.596,10.1,66589,82.9,senior,full_time,no,0
0.089,5.3,47065,42.3,mid,full_time,no,1
0.919,11.7,64952,90.8,senior,full_time,no,1
0.343,11.1,68079,74.0,senior,full_time,no,1
0.223,11.2,65488,43.2,senior,full_time,yes,0
0.542,9.3,84178,56.9,senior,freelance,yes,0
0.678,2.1,15483,14.7,junior,part_time,no,1
0.565,2.9,41647,101.4,mid,full_time,no,0
0.36,5.6,45890,97.1,mid,full_time,yes,0
0.827,4.3,41892,26.1,mid,full_time,no,1
0.436,8.8,71767,6.1,senior,full_time,yes,1
0.889,9.7,67494,40.5,senior,freelance,no,1
0.257,3.3,22711,31.3,mid,internship,no,0
0.829,5.5,22227,80.2,mid,internship,no,0
0.521,5.9,42874,51.7,mid,full_time,yes,1
0.855,1.6,23300,167.9,junior,full_time,yes,1
0.326,2.0,26980,31.9,junior,full_time,no,1
0.413,1.2,19819,111.1,junior,part_time,no,1
0.243,1.3,28851,48.9,junior,full_time,no,1
0.354,1.4,32684,64.0,junior,full_time,yes,1
0.057,3.8,42390,29.3,mid,full_time,no,0
0.172,4.0,33907,70.5,mid,part_time,yes,0
0.348,7.1,71351,56.1,senior,full_time,yes,1
0.287,2.4,47422,147.3,mid,full_time,yes,1
0.462,1.9,20495,181.5,junior,full_time,yes,0
0.381,1.9,31631,2.7,junior,full_time,yes,0
0.074,4.3,24399,212.3,junior,part_time,yes,0
0.369,11.8,64082,41.7,senior,full_time,no,1
0.121,3.2,26395,30.2,junior,full_time,no,0
0.337,1.8,27548,18.4,mid,part_time,no,1
0.166,5.2,60156,19.3,senior,full_time,yes,1
0.19,7.7,67974,24.6,senior,full_time,no,1
0.136,0.0,31518,121.1,junior,full_time,yes,0
0.49,1.4,32816,122.4,junior,freelance,yes,1
0.585,1.1,30485,48.6,junior,full_time,no,1
0.367,2.8,31583,42.3,junior,full_time,no,0
0.736,1.2,21715,52.9,junior,full_time,no,1
0.169,4.1,42873,39.1,mid,full_time,no,0
0.846,8.9,66100,23.8,senior,full_time,yes,1
0.23,5.7,44773,52.9,mid,full_time,yes,0
0.212,3.6,42652,29.7,mid,full_time,no,0
0.336,2.0,31535,77.9,junior,full_time,yes,1
0.524,10.2,71453,219.0,senior,freelance,yes,1
0.177,6.6,47859,74.9,mid,full_time,yes,1
0.477,10.6,46917,18.6,senior,part_time,no,0
0.646,12.7,66480,83.8,senior,full_time,yes,1
0.739,0.0,22682,139.4,junior,full_time,yes,1
0.641,0.0,27638,30.8,junior,full_time,no,1
0.322,3.6,27936,53.4,junior,full_time,no,1
0.42,4.2,41721,19.0,mid,full_time,no,0
0.759,9.2,62424,24.5,senior,full_time,no,1
0.465,1.6,28897,38.4,junior,freelance,yes,1
0.285,4.2,33745,48.3,mid,part_time,no,1
0.379,4.1,17713,34.3,mid,internship,yes,1
0.667,0.5,30816,47.7,junior,full_time,no,1
0.247,1.7,34771,108.2,junior,full_time,yes,1
0.724,6.0,56059,18.5,mid,freelance,no,1
0.518,3.1,38208,55.4,mid,full_time,no,1
0.196,4.3,45328,89.2,mid,full_time,yes,0
0.31,0.4,26031,49.0,junior,full_time,no,0
0.691,3.7,46286,136.1,mid,full_time,no,1
0.555,1.2,30216,51.6,junior,full_time,yes,0
0.482,7.2,63977,17.6,senior,full_time,no,1
0.294,0.0,12676,136.1,junior,internship,yes,1
0.49,0.7,14107,119.6,junior,internship,no,0
0.086,3.7,20740,48.3,mid,internship,no,0
0.703,4.6,41915,9.0,mid,full_time,no,1
0.749,4.3,48395,32.3,mid,freelance,no,1
0.408,6.1,40059,31.3,mid,full_time,no,1
0.622,8.6,46496,81.7,senior,part_time,no,1
0.224,4.5,44196,24.6,mid,full_time,no,0
0.644,5.3,44452,12.9,mid,full_time,no,1
0.189,4.8,45455,54.1,mid,freelance,no,0
0.448,1.1,28649,184.8,junior,full_time,yes,0
0.245,6.6,46724,134.2,mid,freelance,yes,0
0.601,2.6,37128,46.6,junior,full_time,no,1
0.69,4.0,38708,66.7,mid,full_time,no,1
0.239,2.0,29727,49.0,junior,full_time,yes,1
0.678,8.2,66558,97.4,senior,full_time,no,1
0.26,4.1,40931,71.1,mid,full_time,yes,1
0.294,10.3,71739,91.0,senior,freelance,no,0
0.582,5.6,47322,159.3,mid,freelance,no,1
0.502,2.1,24972,118.7,junior,full_time,no,0
0.37,6.3,75409,61.9,senior,freelance,no,1
0.253,4.0,28526,42.3,mid,part_time,no,0
0.229,5.2,43773,39.3,mid,full_time,yes,1
0.631,8.0,15875,46.1,mid,internship,no,1
0.648,3.0,40436,169.2,mid,full_time,yes,1
0.518,8.6,34280,78.1,senior,internship,no,1
0.342,6.8,45502,26.4,mid,full_time,no,1
0.306,1.5,26699,69.1,junior,freelance,yes,1
0.257,3.8,46814,14.6,mid,full_time,yes,1
0.41,6.5,44309,32.4,mid,full_time,no,1
0.714,13.1,58751,63.0,senior,full_time,no,1
0.308,2.3,30723,105.6,junior,full_time,yes,0
0.394,5.5,38745,12.5,mid,full_time,no,1
0.381,9.4,68949,71.7,senior,full_time,yes,1
0.085,5.4,44207,25.5,mid,full_time,no,1
0.302,4.3,44776,19.5,mid,full_time,no,0
0.811,4.1,41260,63.4,mid,full_time,yes,1
0.149,0.6,30387,281.9,junior,full_time,no,0
0.424,3.4,29183,15.7,mid,internship,yes,1
0.247,0.8,26981,15.2,junior,full_time,no,0
0.375,1.9,28265,38.3,junior,full_time,yes,0
0.146,4.5,44486,29.7,mid,full_time,no,0
0.437,4.2,22482,76.2,mid,part_time,yes,0
0.706,6.4,61565,24.4,senior,full_time,no,1
0.183,1.2,36691,119.6,junior,freelance,yes,1
0.319,1.5,21538,32.8,junior,part_time,no,0
0.493,8.2,66196,94.0,senior,full_time,yes,1
0.142,1.3,24704,58.5,junior,full_time,no,0
0.171,2.8,28093,53.6,junior,full_time,no,0
0.201,2.8,30342,47.9,junior,freelance,no,0
0.415,4.8,35886,62.0,mid,full_time,no,1
0.14,3.4,40309,52.6,senior,internship,no,1
0.702,2.4,39568,2.7,mid,full_time,no,1
0.524,4.5,22149,64.2,mid,internship,no,1
0.608,0.9,21759,47.5,junior,full_time,no,1
0.586,0.0,26127,103.4,junior,full_time,no,0
0.294,6.4,26621,18.1,mid,internship,no,0
0.519,0.8,24258,41.7,junior,part_time,no,1
0.365,0.6,28088,52.7,junior,full_time,no,1
0.4,2.3,25813,121.9,junior,full_time,no,0
0.399,2.4,28090,12.9,junior,full_time,no,1
0.568,5.9,51519,33.3,mid,freelance,yes,1
0.804,4.5,38021,44.5,mid,full_time,yes,1
0.675,0.5,34043,30.0,junior,freelance,yes,0
0.203,8.3,44683,46.3,mid,full_time,no,0
0.423,3.6,31289,48.1,mid,part_time,no,0
0.618,4.4,43192,55.6,mid,full_time,yes,1
0.547,8.9,62458,19.0,senior,full_time,no,1
0.212,2.3,24140,32.9,mid,internship,no,0
0.731,13.1,80379,33.5,senior,freelance,no,1
0.544,0.7,38088,116.5,junior,freelance,yes,1
0.62,0.0,26825,46.2,junior,full_time,yes,0
0.34,1.6,27529,54.0,junior,full_time,yes,0
0.75,3.9,46779,21.8,mid,full_time,no,1
0.33,1.5,30922,65.2,junior,full_time,yes,1
0.219,2.3,30852,19.1,junior,full_time,yes,0
0.935,7.2,35671,48.8,mid,full_time,no,1
0.375,2.0,31202,52.9,junior,full_time,no,1
0.028,2.1,27858,78.8,junior,full_time,yes,0
0.17,0.0,33017,48.7,junior,freelance,no,0
0.31,4.0,40791,72.8,mid,full_time,yes,0
0.407,0.9,33774,11.2,junior,full_time,no,1
0.308,2.4,24588,25.6,junior,full_time,no,1
0.549,1.0,35674,74.8,junior,full_time,yes,1
0.675,2.2,23893,30.0,mid,internship,yes,1
0.797,6.0,64414,131.1,senior,full_time,no,1
0.586,5.8,38909,24.1,mid,full_time,no,0
0.331,5.1,41430,208.1,mid,full_time,yes,1
0.467,5.4,64288,12.6,senior,full_time,no,1
0.445,7.4,67422,216.9,senior,full_time,yes,1
0.805,5.7,43888,33.0,mid,full_time,no,1
0.543,11.3,35020,4.6,senior,internship,no,1
0.335,13.3,66885,182.0,senior,full_time,no,0
0.335,4.1,46140,10.3,mid,full_time,no,1
0.469,3.0,45706,19.5,mid,full_time,no,1
0.232,0.0,31033,53.3,junior,full_time,yes,0
0.241,2.3,22751,22.7,junior,part_time,no,0
0.263,4.2,20082,10.0,mid,internship,yes,0
0.335,5.3,42731,52.5,mid,full_time,no,1
0.283,0.9,24203,19.3,junior,full_time,no,0
0.569,4.4,46819,2.7,mid,full_time,yes,1
0.255,5.1,43010,220.1,mid,full_time,no,0
0.625,10.1,68954,40.4,senior,full_time,no,0
0.373,2.6,19514,6.8,junior,internship,no,0
0.516,1.5,29544,133.2,junior,full_time,no,0
0.762,3.7,39633,52.2,mid,full_time,no,1
0.582,5.8,59101,26.4,senior,full_time,yes,1
0.328,8.9,66900,31.6,senior,full_time,no,1
0.617,13.5,35162,6.7,senior,internship,no,1
0.419,8.2,69751,28.2,senior,full_time,yes,1
0.446,1.2,17844,42.9,junior,internship,no,0
0.162,2.9,30094,30.9,junior,full_time,no,0
0.167,0.2,22495,57.6,junior,part_time,yes,0
0.741,5.1,26640,38.1,mid,part_time,yes,1
0.415,9.4,53173,10.0,senior,part_time,no,1
0.166,2.9,23601,45.0,junior,full_time,no,0
0.688,4.5,40995,45.2,mid,full_time,yes,1
0.292,0.9,19843,29.0,junior,part_time,no,0
0.282,1.7,28904,136.3,junior,full_time,yes,0
0.267,1.7,26883,28.1,junior,full_time,no,0
0.566,1.1,13455,85.4,junior,internship,no,0
0.335,9.6,79801,42.1,senior,freelance,yes,0
0.203,0.7,23339,101.7,junior,full_time,no,0
0.142,5.1,63550,70.9,senior,full_time,no,0
0.526,3.4,35922,170.3,mid,full_time,yes,1
0.344,1.1,25232,67.0,junior,full_time,yes,1
0.339,0.5,22529,62.6,junior,full_time,no,0
0.439,11.5,69519,70.6,senior,full_time,yes,1
0.34,3.5,28654,69.2,junior,full_time,no,0
0.361,11.1,62169,19.2,senior,full_time,no,1
0.387,1.0,17644,121.0,junior,full_time,yes,1
0.394,4.7,37920,136.5,mid,full_time,yes,1
0.183,4.0,63103,91.7,senior,full_time,yes,0
0.767,2.7,27578,66.6,junior,full_time,yes,0
0.484,2.5,34852,32.8,junior,freelance,no,1
0.637,5.7,59965,67.9,senior,full_time,no,1
0.461,1.9,24112,46.6,junior,full_time,yes,1
0.182,3.9,42434,60.1,mid,freelance,no,0
0.248,5.4,42010,18.1,mid,full_time,no,1
0.017,1.4,25574,11.1,junior,freelance,yes,0
0.338,5.8,35822,47.3,mid,full_time,no,0
0.599,5.3,44910,127.2,mid,full_time,yes,1
0.754,1.7,33334,16.2,junior,full_time,no,1
0.241,6.6,37045,103.7,senior,internship,yes,0
0.207,2.1,26901,20.2,junior,full_time,no,1
0.297,1.6,23023,69.9,junior,internship,no,1
0.625,2.0,21967,45.4,mid,internship,yes,0
0.547,10.9,63186,53.2,senior,full_time,no,0
0.159,0.0,26963,42.4,junior,full_time,yes,1
0.1,0.0,34092,140.5,junior,full_time,yes,0
0.126,3.1,45146,2.8,mid,full_time,yes,0
0.234,7.1,76599,51.0,senior,freelance,no,0
0.062,3.0,29143,34.9,junior,full_time,no,1
0.355,0.0,19402,51.7,junior,part_time,no,1
0.481,3.5,40869,38.6,mid,full_time,no,1
0.387,1.7,24624,23.8,junior,full_time,no,0
0.639,1.3,26614,68.8,junior,full_time,no,1
0.559,1.7,33189,5.6,junior,freelance,no,1
0.703,0.4,27316,31.2,junior,full_time,no,0
0.136,3.3,34332,394.7,mid,part_time,no,0
0.107,10.0,75669,29.2,senior,freelance,no,1
0.354,3.7,43924,67.3,mid,full_time,yes,1
0.368,5.9,38962,25.3,mid,full_time,no,0
0.132,8.5,60707,7.2,senior,full_time,no,0
0.198,1.9,12000,27.8,junior,internship,no,0
0.817,1.7,32647,142.2,junior,full_time,yes,0
0.757,9.2,44167,127.6,senior,part_time,yes,1
0.291,4.3,28665,76.4,junior,full_time,no,1
0.776,5.5,42667,115.0,mid,full_time,no,1
0.354,3.9,39605,53.3,mid,full_time,no,0
0.535,1.6,27874,24.8,junior,full_time,no,0
0.69,5.4,32099,99.2,mid,part_time,no,0
0.114,2.8,23957,97.2,junior,full_time,no,0
0.674,0.0,18867,102.6,junior,part_time,yes,0
0.381,5.0,42791,93.3,mid,full_time,yes,1
0.288,2.5,27638,56.8,junior,full_time,no,0
0.67,4.5,38283,41.1,mid,full_time,yes,1
0.654,10.2,65012,14.9,senior,full_time,no,1
0.483,9.7,65144,27.1,senior,full_time,no,0
0.587,1.7,24835,73.9,junior,part_time,yes,1
0.222,1.8,20632,31.7,junior,part_time,no,0
0.486,1.8,27136,42.8,junior,full_time,yes,1
0.201,3.2,30393,19.5,junior,full_time,no,1
0.556,9.0,53818,20.5,senior,part_time,yes,1
0.361,1.8,15860,61.3,junior,part_time,no,0
0.505,0.7,25868,38.0,junior,full_time,no,0
0.397,9.8,28048,28.7,senior,internship,no,1
0.116,0.9,29496,27.4,junior,freelance,yes,0
0.358,2.3,33729,188.3,junior,full_time,yes,0
0.263,1.9,23931,37.5,junior,full_time,no,0
0.449,6.2,33760,46.6,mid,part_time,yes,1
0.185,3.5,44379,86.3,mid,full_time,yes,0
0.222,0.0,18639,12.6,junior,part_time,no,1
0.602,9.5,34914,7.9,senior,internship,yes,1
0.543,8.5,71505,116.4,senior,full_time,yes,1
0.196,7.9,79976,89.4,senior,freelance,yes,1
0.397,2.0,39712,33.9,junior,freelance,no,0
0.312,0.4,22939,101.2,junior,freelance,no,0
0.216,13.7,50300,41.0,senior,part_time,no,0
0.483,1.9,19334,22.9,junior,full_time,no,0
0.087,4.6,47835,24.4,mid,freelance,no,0
0.324,2.9,47191,15.0,mid,freelance,no,1
0.222,0.7,24492,123.4,junior,full_time,yes,0
0.295,3.0,39544,53.1,mid,full_time,no,1
0.928,7.9,65562,18.7,senior,full_time,yes,1
0.314,2.5,43189,27.8,mid,full_time,no,0
0.408,3.0,37646,108.6,mid,full_time,no,1
0.4,12.4,62076,139.3,senior,full_time,no,0
0.547,4.6,43476,1.6,mid,full_time,no,1
0.329,4.0,44174,57.8,mid,full_time,no,0
0.972,7.3,44611,33.5,senior,internship,no,1
0.4,4.1,48542,29.5,mid,freelance,no,1
0.324,1.2,29870,78.8,junior,full_time,no,1
0.837,1.0,26868,68.7,junior,full_time,no,1
0.153,3.0,19962,132.8,junior,internship,no,1
0.437,4.1,28834,215.4,mid,part_time,yes,1
0.165,7.2,31863,149.1,mid,part_time,yes,0
0.603,2.8,23631,34.6,mid,internship,no,0
0.364,1.9,30202,17.8,junior,full_time,yes,1
0.484,2.6,46188,41.4,mid,full_time,yes,1
0.562,11.0,65890,89.5,senior,full_time,yes,1
0.5,2.8,30776,155.8,junior,full_time,no,1
0.353,3.2,17801,35.1,mid,internship,no,1
0.118,4.4,42533,59.0,mid,full_time,no,1
0.182,5.3,35044,16.4,mid,full_time,no,1
0.553,4.4,26860,19.1,junior,full_time,no,1
0.316,5.4,50403,24.8,mid,full_time,no,1
0.835,13.5,65582,37.0,senior,full_time,no,1
0.473,5.9,39981,17.7,mid,full_time,no,1
0.445,8.2,37202,96.2,senior,internship,no,1
0.664,7.3,64485,70.2,senior,full_time,no,1
0.548,1.5,28879,19.4,junior,freelance,yes,1
0.419,4.3,36454,183.0,mid,full_time,yes,0
0.437,3.9,41607,25.5,mid,full_time,no,1
0.19,7.9,63969,10.6,senior,full_time,no,1
0.559,3.0,19762,166.4,junior,part_time,no,0
0.544,0.8,35770,111.5,junior,freelance,yes,1
0.536,9.0,53272,113.2,senior,part_time,no,1
0.609,2.8,30257,18.0,junior,full_time,no,0
0.7,7.0,30045,30.1,mid,part_time,no,1
0.537,0.7,28190,58.8,junior,full_time,no,1
0.484,9.8,52365,48.7,senior,part_time,no,0
0.568,8.9,51590,24.2,senior,part_time,no,0
0.33,1.5,17183,67.3,junior,internship,no,0
0.233,0.3,40071,62.2,mid,full_time,no,0
0.431,2.0,31630,53.5,junior,full_time,no,1
0.736,4.6,27809,84.1,mid,internship,no,0
0.546,5.1,35315,42.0,mid,part_time,yes,1
0.306,8.0,46051,55.5,senior,internship,no,0
0.209,2.2,30621,55.4,junior,full_time,no,0
0.326,0.2,37182,102.3,junior,freelance,yes,1
0.38,7.3,44242,17.3,mid,full_time,no,1
0.595,2.0,42806,43.9,mid,full_time,yes,1
0.034,3.9,39144,190.8,mid,full_time,yes,1
0.174,0.6,18308,53.0,junior,part_time,no,0
0.159,2.1,26184,73.5,junior,full_time,yes,0
0.514,13.9,60769,70.3,senior,full_time,no,1
0.545,1.1,26997,3.3,junior,full_time,no,1
0.292,0.1,32211,81.4,junior,freelance,no,0
0.276,8.5,69170,178.6,senior,full_time,no,0
0.613,1.4,24622,85.9,junior,full_time,yes,1
0.336,2.5,51422,163.5,mid,freelance,no,0
0.444,1.4,29779,27.1,junior,full_time,yes,1
0.267,7.4,37068,13.5,senior,internship,no,1
0.198,1.8,41663,12.7,mid,full_time,no,0
0.937,11.1,44144,50.2,senior,internship,yes,1
0.616,1.7,25248,116.8,junior,full_time,no,0
0.651,4.2,40046,8.5,mid,full_time,no,1
0.074,5.7,42412,100.6,mid,full_time,no,0
0.235,2.0,30225,139.1,junior,full_time,yes,0
0.295,2.0,28787,11.5,junior,full_time,no,0
0.471,0.7,28665,53.6,junior,full_time,yes,1
0.59,11.1,66842,13.7,senior,full_time,no,1
0.087,6.3,33606,107.6,mid,part_time,no,0
0.517,3.7,31365,58.3,mid,part_time,no,0
0.415,5.5,48429,20.9,mid,full_time,no,1
0.398,4.2,33046,82.7,mid,part_time,no,0
0.303,5.3,30536,48.8,mid,part_time,no,1
0.979,6.2,46352,37.7,mid,full_time,no,1
0.678,4.2,41198,15.0,mid,freelance,no,1
0.408,1.1,17692,25.6,junior,part_time,yes,1
0.596,12.5,64286,17.0,senior,full_time,no,1
0.615,13.8,32700,18.0,senior,internship,yes,1
0.275,2.4,30812,64.7,junior,full_time,no,1
0.378,6.1,44692,15.9,mid,full_time,no,1
0.597,1.0,33709,28.2,junior,full_time,no,1
0.564,9.9,62978,23.6,senior,full_time,no,1
0.497,8.3,38809,79.4,senior,internship,yes,1
0.883,4.2,71429,12.9,senior,full_time,yes,1
0.427,1.1,21569,113.8,junior,part_time,no,1
0.284,0.0,18851,30.3,junior,internship,no,0
0.033,1.5,27650,41.1,junior,full_time,no,0
0.379,1.8,32601,8.1,junior,full_time,no,1
0.3,0.0,26176,5.9,junior,full_time,yes,0
0.059,0.4,23410,81.8,junior,full_time,yes,1
0.258,6.7,63674,32.9,senior,full_time,no,0
0.385,0.1,27692,19.1,junior,full_time,no,1
0.335,2.3,30371,5.5,junior,full_time,yes,1
0.796,9.5,37329,74.3,senior,internship,no,1
0.026,2.7,39517,27.3,mid,full_time,no,0
0.292,5.5,38505,13.0,mid,full_time,no,1
0.614,6.1,47693,28.7,mid,full_time,no,1
0.154,6.0,66468,73.6,senior,full_time,yes,1
0.662,5.9,29835,3.5,mid,part_time,no,1
0.497,2.7,44376,65.2,mid,full_time,yes,1
0.389,4.2,38606,24.8,mid,full_time,no,0
0.414,5.0,40758,41.2,mid,full_time,yes,1
0.252,0.0,31612,62.6,junior,full_time,yes,1
0.508,5.2,28894,96.3,mid,part_time,yes,1
0.732,1.4,24188,164.1,junior,full_time,yes,0
0.713,4.7,40755,240.4,mid,full_time,no,0
0.369,2.2,29747,55.3,junior,full_time,yes,1
0.691,1.7,32811,58.6,junior,full_time,no,1
0.541,1.1,29192,47.5,junior,full_time,no,1
0.242,5.0,68756,74.6,senior,full_time,yes,1
0.625,1.8,24421,20.3,junior,full_time,no,1
0.596,6.6,43914,23.8,mid,full_time,yes,1
0.463,9.2,61083,58.9,senior,full_time,no,0
0.003,2.5,36370,261.0,junior,freelance,yes,1
0.386,2.6,42397,18.0,mid,full_time,no,0
0.51,1.4,28659,57.1,junior,full_time,yes,1
0.173,0.0,17632,88.5,junior,internship,yes,0
0.518,4.1,22076,22.2,mid,internship,yes,1
0.809,10.9,63302,113.1,senior,full_time,no,1
0.384,2.6,24672,86.0,junior,full_time,no,0
0.65,2.0,29334,17.9,mid,internship,no,1
0.25,1.9,27203,27.5,junior,full_time,no,1
0.278,5.4,22687,224.9,mid,internship,yes,0
0.509,5.3,44428,59.8,mid,full_time,no,0
0.452,9.5,23141,29.1,mid,internship,no,1
0.411,6.0,33874,49.6,mid,full_time,no,0
0.279,1.5,35080,104.4,junior,full_time,no,0
0.645,5.0,40321,89.8,mid,full_time,no,1
0.658,4.9,40321,45.6,mid,full_time,yes,1
0.38,4.0,30931,26.5,mid,part_time,no,0
0.242,0.0,27034,78.7,junior,full_time,yes,0
0.202,4.7,21361,53.1,mid,internship,no,0
0.689,1.2,29247,3.0,junior,full_time,yes,1
0.123,0.6,14490,4.3,junior,part_time,no,0
0.701,0.3,30572,18.9,junior,full_time,no,1
0.507,4.9,45340,173.2,mid,full_time,no,0
0.137,1.6,36087,42.4,mid,full_time,no,0
